model,layer_idx,shape_n,shape_d,mean,std,norm_mean,min,max
pythia,0,10000,2048,-0.006902369670569897,0.5605083703994751,25.231143951416016,-24.421875,18.96875
pythia,2,10000,2048,-0.007807688321918249,0.7784684300422668,34.808677673339844,-78.75,78.75
pythia,5,10000,2048,-0.00831205677241087,1.589079737663269,47.390533447265625,-656.5,970.0
pythia,8,10000,2048,-0.01389945950359106,1.7533553838729858,53.806976318359375,-675.5,1071.0
pythia,11,10000,2048,-0.02571672946214676,1.9006415605545044,62.21491241455078,-659.5,1116.0
pythia,14,10000,2048,-0.03775206580758095,2.3017542362213135,85.69864654541016,-627.0,1148.0
pythia,17,10000,2048,-0.04549950733780861,2.9285478591918945,118.54975891113281,-592.0,1157.0
pythia,20,10000,2048,-0.04467855393886566,3.8449695110321045,163.52427673339844,-526.0,1108.0
pythia,23,10000,2048,-0.04343096539378166,2.932417869567871,128.1347198486328,-179.375,374.5
