layer_a,layer_b,cka_score
0,0,0.0401063128626044
0,3,0.04660104044137899
0,6,0.04996321610248706
0,9,0.05263892237911442
0,12,0.04973291080043758
0,15,0.05625456157363265
0,18,0.06011163996728977
0,21,0.05571120777139777
0,25,0.028459277638266087
3,0,0.05724465270648186
3,3,0.07237627085027631
3,6,0.0802770930162127
3,9,0.08851834237825937
3,12,0.08902908677627032
3,15,0.10338643766915342
3,18,0.10905206938075587
3,21,0.10320573578183637
3,25,0.0466611894786671
6,0,0.06478967955123871
6,3,0.08367713156251151
6,6,0.09589829105999201
6,9,0.10983989769794932
6,12,0.11281635726752136
6,15,0.1307554380481935
6,18,0.13482410673536643
6,21,0.1265645880529664
6,25,0.05473102699899895
10,0,0.06950350190275896
10,3,0.09062481718009589
10,6,0.10653751029959964
10,9,0.12527533412829173
10,12,0.13327885932181827
10,15,0.1569415408674359
10,18,0.15905704144233335
10,21,0.1477369747576043
10,25,0.0633426503286772
13,0,0.07283135547643585
13,3,0.09604243334439413
13,6,0.112463162521416
13,9,0.13310053828129578
13,12,0.14348337480029852
13,15,0.1729783194632552
13,18,0.17729916549501637
13,21,0.16454419337477846
13,25,0.07161436795694434
16,0,0.06852670155102018
16,3,0.09297287933848654
16,6,0.10734890714399616
16,9,0.12598297185212992
16,12,0.13771420664123818
16,15,0.1676843131911687
16,18,0.1837547254118312
16,21,0.17466493643605394
16,25,0.07941927650334994
20,0,0.056893681884847225
20,3,0.08108933498008679
20,6,0.09400993321641114
20,9,0.10998862747734055
20,12,0.1242900228037751
20,15,0.1538742279853815
20,18,0.17631876769331267
20,21,0.17150461989300722
20,25,0.07577783064437342
23,0,0.058250855860361
23,3,0.08194893844668372
23,6,0.09564373379184274
23,9,0.11007172694380501
23,12,0.12440122583654319
23,15,0.15490344082272758
23,18,0.1825200567525931
23,21,0.17459698681253003
23,25,0.0761109262830835
27,0,0.03970637149091936
27,3,0.05134805280220682
27,6,0.05794272109995512
27,9,0.06523703675002678
27,12,0.06762139179309026
27,15,0.08301667665869959
27,18,0.09630195069588607
27,21,0.09069200719429736
27,25,0.04660449301447485
