method,rank,top1,top5
source_native,N/A,0.6712204217910767,0.8278688192367554
target_oracle,N/A,0.7275204658508301,0.8601272106170654
cross_model_oracle,N/A,0.10260585695505142,0.1938110738992691
low_rank_r4,4,0.05100182071328163,0.1739526391029358
low_rank_r8,8,0.051912568509578705,0.16939890384674072
low_rank_r16,16,0.04280510172247887,0.16120217740535736
low_rank_r32,32,0.04098360612988472,0.15755920112133026
low_rank_r64,64,0.04644808545708656,0.17850637435913086
low_rank_r128,128,0.05100182071328163,0.1839708536863327
low_rank_r256,256,0.04644808545708656,0.17759563028812408
ridge,full,0.05373406037688255,0.17122040688991547
