pair,method,rank,top1,top5
cross_arch_gemma_qwen,source_native,N/A,0.40439561009407043,0.7692307829856873
cross_arch_gemma_qwen,target_oracle,N/A,0.378238320350647,0.8005180954933167
cross_arch_gemma_qwen,cross_model_oracle,N/A,0.21153846383094788,0.6089743375778198
cross_arch_gemma_qwen,low_rank_r4,4,0.29890111088752747,0.6835165023803711
cross_arch_gemma_qwen,low_rank_r8,8,0.29010990262031555,0.6857143044471741
cross_arch_gemma_qwen,low_rank_r16,16,0.29230770468711853,0.694505512714386
cross_arch_gemma_qwen,low_rank_r32,32,0.2879121005535126,0.7142857313156128
cross_arch_gemma_qwen,low_rank_r64,64,0.28131869435310364,0.7032967209815979
cross_arch_gemma_qwen,low_rank_r128,128,0.26813188195228577,0.6989011168479919
cross_arch_gemma_qwen,low_rank_r256,256,0.2857142984867096,0.7010989189147949
cross_arch_gemma_qwen,ridge,full,0.23076924681663513,0.687912106513977
within_family_llama,source_native,N/A,0.4548121988773346,0.8468310236930847
within_family_llama,target_oracle,N/A,0.48532864451408386,0.8497652411460876
within_family_llama,cross_model_oracle,N/A,0.48532864451408386,0.8497652411460876
within_family_llama,low_rank_r4,4,0.27582159638404846,0.68955397605896
within_family_llama,low_rank_r8,8,0.34624412655830383,0.7494131326675415
within_family_llama,low_rank_r16,16,0.40492957830429077,0.8245305418968201
within_family_llama,low_rank_r32,32,0.44483569264411926,0.8468310236930847
within_family_llama,low_rank_r64,64,0.47828638553619385,0.8673709034919739
within_family_llama,low_rank_r128,128,0.49295774102211,0.8820422887802124
within_family_llama,low_rank_r256,256,0.4888497591018677,0.8755868673324585
within_family_llama,ridge,full,0.47124412655830383,0.8562206625938416
